module_name,direct_dependents
boost.assign,1
boost.atomic,1
boost.beast,1
boost.bloom,1
boost.callable_traits,1
boost.charconv,1
boost.chrono,1
boost.cobalt,1
boost.compat,1
boost.compute,1
boost.contract,1
boost.convert,1
boost.coroutine2,1
boost.date_time,1
boost.describe,1
boost.detail,1
boost.exception,1
boost.fiber,1
boost.flyweight,1
boost.gil,1
boost.graph_parallel,1
boost.hana,1
boost.hash2,1
boost.headers,1
boost.histogram,1
boost.hof,1
boost.icl,1
boost.io,1
boost.json,1
boost.lambda2,1
boost.leaf,1
boost.local_function,1
boost.locale,1
boost.log,1
boost.logic,1
boost.metaparse,1
boost.mp11,1
boost.mpi,1
boost.mqtt5,1
boost.msm,1
boost.mysql,1
boost.nowide,1
boost.numeric_interval,1
boost.numeric_odeint,1
boost.openmethod,1
boost.outcome,1
boost.parameter,1
boost.parameter_python,1
boost.parser,1
boost.pfr,1
boost.poly_collection,1
boost.process,1
boost.property_map_parallel,1
boost.proto,1
boost.python,1
boost.qvm,1
boost.ratio,1
boost.rational,1
boost.redis,1
boost.safe_numerics,1
boost.scope,1
boost.scope_exit,1
boost.stacktrace,1
boost.statechart,1
boost.static_string,1
boost.stl_interfaces,1
boost.tti,1
boost.tuple,1
boost.type_erasure,1
boost.type_index,1
boost.typeof,1
boost.url,1
boost.variant2,1
boost.vmd,1
boost.wave,1
boost.winapi,1
boost.xpressive,1
boost.yap,1
c4core,1
cel-cpp,1
cereal,1
civetweb,1
cjson,1
codec2,1
codspeed_core,1
com_github_mvukov_rules_ros2,1
console_bridge,1
cpp-httplib,1
cpp-sqlite,1
cppitertools,1
cpptoml,1
cpu_features,1
crispy-doom,1
cucumber-cpp,1
cuda_toolchain_types,1
cxxopts,1
dartsim,1
dav1d,1
diff.bzl,1
diffutils,1
dtc,1
emsdk,1
envoy_api,1
esaxx,1
fastcdr,1
fbthrift,1
fcl,1
flann,1
foonathan_memory,1
fp16,1
freeimage,1
fxdiv,1
generate_export_header,1
giflib,1
glm,1
glu,1
google_cloud_cpp,1
graphene,1
grpc_ecosystem_grpc_gateway,1
gsl,1
gsm,1
gutil,1
gz-fuel-tools,1
gz-physics,1
gz-sensors,1
helly25_bashtest,1
highs,1
highwayhash,1
imath,1
implot,1
iverilog,1
javacc,1
javaparser,1
jsinterop_generator,1
jsonnet,1
jsonnet_go,1
lame,1
lexy,1
libavif,1
libcap,1
libde265,1
libepoxy,1
libestr,1
libfastjson,1
libfuse,1
libgd,1
libgpiod,1
libheif,1
libjxl,1
libmdnsd,1
libmicrohttpd,1
libpaper,1
libparserutils,1
libprotobuf-mutator,1
librdkafka,1
libssh2,1
libsvtav1,1
libthai,1
libunibreak,1
libusb,1
libuv,1
libvpx,1
libwebm,1
libxcrypt,1
libxdamage,1
libxtrans,1
libzip,1
lodepng,1
lua,1
lunasvg,1
lz4-erlang,1
make,1
maliput_sparse,1
marchingcubecpp,1
marisa-trie,1
mboworks_bashtest,1
mboworks_bzl,1
minicoro,1
minitrace,1
miniz,1
mvfst,1
ninja,1
nvc,1
octomap,1
ode,1
ofiuco,1
ogre-next,1
open62541,1
openblas,1
opencensus-cpp,1
opencensus-proto,1
opencl-sdk,1
openconfig_attestz,1
openconfig_bootz,1
opencv,1
openjpeg,1
openjph,1
openmp,1
opentracing-cpp,1
openvdb,1
opus,1
p4c,1
paho.mqtt.c,1
pahole,1
patchelf,1
pixman,1
pkgconf,1
pplib,1
pre-commit,1
prjoxide,1
prjoxide-db,1
prjtrellis-db,1
proto-converter,1
protobuf-matchers,1
